Period_Index,Rep_Period,Rep_Period_Index
1,24,1
2,24,1
3,24,1
4,24,1
5,24,1
6,24,1
7,24,1
8,24,1
9,24,1
10,24,1
11,24,1
12,24,1
13,24,1
14,24,1
15,24,1
16,24,1
17,24,1
18,24,1
19,24,1
20,24,1
21,24,1
22,24,1
23,24,1
24,24,1
25,24,1
26,24,1
27,24,1
28,24,1
29,24,1
30,24,1
31,24,1
32,48,2
33,48,2
34,48,2
35,48,2
36,48,2
37,48,2
38,48,2
39,48,2
40,48,2
41,48,2
42,48,2
43,48,2
44,48,2
45,48,2
46,48,2
47,48,2
48,48,2
49,48,2
50,48,2
51,48,2
52,48,2
53,48,2
54,48,2
55,48,2
56,48,2
57,48,2
58,48,2
59,48,2
60,48,2
61,48,2
62,48,2
63,48,2
64,48,2
65,48,2
66,48,2
67,48,2
68,48,2
69,48,2
70,48,2
71,48,2
72,48,2
73,48,2
74,48,2
75,48,2
76,48,2
77,48,2
78,48,2
79,48,2
80,48,2
81,48,2
82,48,2
83,48,2
84,48,2
85,48,2
86,48,2
87,48,2
88,48,2
89,48,2
90,48,2
91,123,3
92,253,5
93,253,5
94,253,5
95,253,5
96,253,5
97,253,5
98,253,5
99,253,5
100,253,5
101,123,3
102,253,5
103,253,5
104,253,5
105,253,5
106,253,5
107,253,5
108,123,3
109,123,3
110,253,5
111,253,5
112,253,5
113,253,5
114,253,5
115,253,5
116,123,3
117,253,5
118,253,5
119,253,5
120,123,3
121,253,5
122,123,3
123,123,3
124,123,3
125,123,3
126,123,3
127,123,3
128,253,5
129,123,3
130,253,5
131,253,5
132,253,5
133,123,3
134,123,3
135,253,5
136,123,3
137,253,5
138,123,3
139,123,3
140,123,3
141,123,3
142,123,3
143,123,3
144,123,3
145,123,3
146,123,3
147,123,3
148,123,3
149,183,4
150,123,3
151,123,3
152,123,3
153,253,5
154,253,5
155,253,5
156,123,3
157,123,3
158,123,3
159,123,3
160,123,3
161,123,3
162,253,5
163,123,3
164,123,3
165,253,5
166,123,3
167,123,3
168,123,3
169,123,3
170,123,3
171,183,4
172,183,4
173,183,4
174,183,4
175,123,3
176,123,3
177,253,5
178,253,5
179,183,4
180,183,4
181,183,4
182,183,4
183,183,4
184,183,4
185,183,4
186,183,4
187,183,4
188,183,4
189,183,4
190,183,4
191,183,4
192,183,4
193,183,4
194,183,4
195,183,4
196,183,4
197,183,4
198,183,4
199,183,4
200,183,4
201,123,3
202,123,3
203,123,3
204,183,4
205,183,4
206,183,4
207,183,4
208,183,4
209,123,3
210,123,3
211,183,4
212,183,4
213,183,4
214,183,4
215,183,4
216,183,4
217,183,4
218,183,4
219,183,4
220,183,4
221,183,4
222,183,4
223,183,4
224,183,4
225,183,4
226,183,4
227,183,4
228,183,4
229,183,4
230,123,3
231,123,3
232,123,3
233,183,4
234,183,4
235,183,4
236,183,4
237,123,3
238,123,3
239,183,4
240,183,4
241,253,5
242,253,5
243,183,4
244,123,3
245,123,3
246,123,3
247,183,4
248,183,4
249,183,4
250,183,4
251,253,5
252,123,3
253,253,5
254,123,3
255,123,3
256,123,3
257,123,3
258,253,5
259,253,5
260,123,3
261,253,5
262,253,5
263,123,3
264,123,3
265,123,3
266,253,5
267,123,3
268,253,5
269,253,5
270,253,5
271,123,3
272,123,3
273,123,3
274,253,5
275,123,3
276,123,3
277,123,3
278,123,3
279,253,5
280,123,3
281,123,3
282,123,3
283,123,3
284,253,5
285,253,5
286,123,3
287,253,5
288,253,5
289,253,5
290,123,3
291,253,5
292,253,5
293,253,5
294,253,5
295,253,5
296,123,3
297,123,3
298,123,3
299,123,3
300,123,3
301,253,5
302,253,5
303,253,5
304,253,5
305,123,3
306,123,3
307,253,5
308,253,5
309,123,3
310,123,3
311,48,2
312,253,5
313,253,5
314,123,3
315,123,3
316,123,3
317,123,3
318,123,3
319,123,3
320,123,3
321,123,3
322,123,3
323,123,3
324,123,3
325,123,3
326,123,3
327,123,3
328,253,5
329,253,5
330,123,3
331,123,3
332,123,3
333,123,3
334,123,3
335,123,3
336,48,2
337,48,2
338,48,2
339,48,2
340,48,2
341,48,2
342,48,2
343,48,2
344,48,2
345,48,2
346,48,2
347,48,2
348,48,2
349,48,2
350,48,2
351,48,2
352,48,2
353,48,2
354,48,2
355,48,2
356,48,2
357,48,2
358,48,2
359,48,2
360,48,2
361,48,2
362,48,2
363,48,2
364,48,2
365,48,2
