commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,64.97064370066505
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,64.97298585283605
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,65.03061655184088
CO2,capacity,co2_sink,sorbent_dac_MA,sorbent_dac_MA_co2_edge,ElectricDAC,capacity,15.11826368558556
CO2,capacity,co2_sink,sorbent_dac_CT,sorbent_dac_CT_co2_edge,ElectricDAC,capacity,26.596913467649017
CO2,capacity,co2_sink,sorbent_dac_ME,sorbent_dac_ME_co2_edge,ElectricDAC,capacity,694.2743667156548
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,101.4607119206582
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,167.7420230658294
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},capacity,206.43805849923922
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,capacity,5842.34647980837
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,capacity,3999.5271598894474
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,capacity,1949.0984697797996
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,capacity,6614.721873486145
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,capacity,6632.555898949457
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},capacity,4721.271564456624
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},capacity,2675.6296271572637
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},capacity,536.2428677170367
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,capacity,3958.0986259924575
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,capacity,888.8817317643787
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,capacity,15317.259961297743
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,capacity,16511.149618937736
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,64.97064370066505
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,64.97298585283605
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,65.03061655184088
CO2,capacity,co2_sink,sorbent_dac_MA,sorbent_dac_MA_co2_edge,ElectricDAC,new_capacity,15.11826368558556
CO2,capacity,co2_sink,sorbent_dac_CT,sorbent_dac_CT_co2_edge,ElectricDAC,new_capacity,26.596913467649017
CO2,capacity,co2_sink,sorbent_dac_ME,sorbent_dac_ME_co2_edge,ElectricDAC,new_capacity,694.2743667156548
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,101.4607119206582
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,167.7420230658294
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},new_capacity,206.43805849923922
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,new_capacity,2892.346479808369
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,new_capacity,1999.5271598894474
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,new_capacity,1949.0984697797996
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,new_capacity,6614.721873486145
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,new_capacity,6632.555898949457
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},new_capacity,4721.271564456624
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},new_capacity,2675.6296271572637
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},new_capacity,536.2428677170367
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,new_capacity,3958.0986259924575
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,new_capacity,888.8817317643787
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,new_capacity,15317.259961297743
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,new_capacity,16511.149618937736
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
CO2,capacity,co2_sink,sorbent_dac_MA,sorbent_dac_MA_co2_edge,ElectricDAC,retired_capacity,0.0
CO2,capacity,co2_sink,sorbent_dac_CT,sorbent_dac_CT_co2_edge,ElectricDAC,retired_capacity,0.0
CO2,capacity,co2_sink,sorbent_dac_ME,sorbent_dac_ME_co2_edge,ElectricDAC,retired_capacity,0.0
Cement,capacity,cement_produced,cement_MA,cement_MA_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
Cement,capacity,cement_produced,cement_CT,cement_CT_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
Cement,capacity,cement_produced,cement_ME,cement_ME_cement_edge,MacroEnergy.ElectrochemCementPlant{CementMaterials},retired_capacity,0.0
Electricity,capacity,elec_MA_elec_CT,MA_to_CT,MA_to_CT_elec_edge,PowerLine,retired_capacity,0.0
Electricity,capacity,elec_MA_elec_ME,MA_to_ME,MA_to_ME_elec_edge,PowerLine,retired_capacity,0.0
Electricity,capacity,elec_MA,storage_MA,storage_MA_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_CT,storage_CT,storage_CT_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_ME,storage_ME,storage_ME_discharge_edge,Battery,retired_capacity,0.0
Electricity,capacity,elec_MA,ng_MA,ng_MA_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_CT,ng_CT,ng_CT_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_ME,ng_ME,ng_ME_elec_edge,ThermalPower{NaturalGas},retired_capacity,0.0
Electricity,capacity,elec_MA,solar_pv_MA,solar_pv_MA_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_CT,solar_pv_CT,solar_pv_CT_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_CT,onshore_wind_CT,onshore_wind_CT_edge,VRE,retired_capacity,0.0
Electricity,capacity,elec_ME,onshore_wind_ME,onshore_wind_ME_edge,VRE,retired_capacity,0.0
